CDHR5	0.928	1.657032776	0.856	1.657032776	0.958	0.635	NA	Enterocyte	CDHR5
PHGR1	0.922	1.348300615	0.844	1.348300615	1	1	NA	Enterocyte	PHGR1
IL32	0.912	2.17546391	0.824	2.17546391	0.925	0.538	NA	Enterocyte	IL32
SEPP1	0.91	2.41330748	0.82	2.41330748	0.912	0.466	NA	Enterocyte	SEPP1
ANPEP	0.9	1.954580799	0.8	1.954580799	0.932	0.498	NA	Enterocyte	ANPEP
GUCA2A	0.897	1.73115429	0.794	1.73115429	0.933	0.62	NA	Enterocyte	GUCA2A
CTSD	0.891	1.008065519	0.782	1.008065519	0.975	0.905	NA	Enterocyte	CTSD
AMN	0.884	1.19417237	0.768	1.19417237	0.958	0.807	NA	Enterocyte	AMN
PRAP1	0.875	2.43700692	0.75	2.43700692	0.892	0.523	NA	Enterocyte	PRAP1
MISP	0.868	1.069625398	0.736	1.069625398	0.913	0.664	NA	Enterocyte	MISP
FABP1	0.867	1.327696155	0.734	1.327696155	0.996	0.968	NA	Enterocyte	FABP1
ADIRF	0.866	2.210680234	0.732	2.210680234	0.914	0.727	NA	Enterocyte	ADIRF
AGPAT2	0.859	1.060420385	0.718	1.060420385	0.917	0.712	NA	Enterocyte	AGPAT2
CES2	0.854	1.06139983	0.708	1.06139983	0.959	0.792	NA	Enterocyte	CES2
MT-CO1	0.853	0.602708356	0.706	0.602708356	1	1	NA	Enterocyte	MT-CO1
PCK1	0.851	1.356895288	0.702	1.356895288	0.918	0.708	NA	Enterocyte	PCK1
KRT19	0.85	1.084089272	0.7	1.084089272	0.99	0.965	NA	Enterocyte	KRT19
FTH1	0.85	0.993753183	0.7	0.993753183	1	1	NA	Enterocyte	FTH1
AOC1	0.848	1.022507778	0.696	1.022507778	0.895	0.622	NA	Enterocyte	AOC1
MALL	0.847	1.125673189	0.694	1.125673189	0.832	0.324	NA	Enterocyte	MALL
SLC51B	0.847	1.114185165	0.694	1.114185165	0.791	0.206	NA	Enterocyte	SLC51B
HLA-A	0.846	0.875844802	0.692	0.875844802	0.996	0.992	NA	Enterocyte	HLA-A
FABP2	0.845	1.85230793	0.69	1.85230793	0.908	0.73	NA	Enterocyte	FABP2
FLJ22763	0.841	1.291268954	0.682	1.291268954	0.756	0.169	NA	Enterocyte	FLJ22763
MEP1A	0.841	1.202257305	0.682	1.202257305	0.815	0.359	NA	Enterocyte	MEP1A
CYP3A5	0.841	1.112436044	0.682	1.112436044	0.862	0.532	NA	Enterocyte	CYP3A5
CST3	0.841	0.688347647	0.682	0.688347647	0.997	0.995	NA	Enterocyte	CST3
ALDOB	0.84	2.708444682	0.68	2.708444682	0.761	0.243	NA	Enterocyte	ALDOB
